,Rates
AED,4.244129
AFN,105.135139
ALL,122.883358
AMD,551.860306
ANG,2.082394
AOA,689.810458
ARS,115.394862
AUD,1.557892
AWG,2.079831
AZN,1.95119
BAM,1.955883
BBD,2.332993
BDT,99.090291
BGN,1.957036
BHD,0.43565
BIF,2299.34284
BMD,1.155462
BND,1.561455
BOB,7.966807
BRL,6.467578
BSD,1.155497
BTC,1.8751231e-05
BTN,86.037556
BWP,13.205361
BYN,2.842578
BYR,22647.046929
BZD,2.329093
CAD,1.436112
CDF,2322.477698
CHF,1.055243
CLF,0.034173
CLP,942.983358
CNY,7.392763
COP,4427.844313
CRC,737.697815
CUC,1.155462
CUP,30.619732
CVE,110.268014
CZK,25.552975
DJF,205.700281
DKK,7.437134
DOP,65.115807
DZD,159.18455
EGP,18.144564
ERN,17.333355
ETB,54.883675
EUR,1.0
FJD,2.404285
FKP,0.84721
GBP,0.852008
GEL,3.651597
GGP,0.84721
GHS,7.060093
GIP,0.84721
GMD,60.083985
GNF,11097.303282
GTQ,8.943274
GYD,241.81033
HKD,8.994043
HNL,27.903917
HRK,7.521943
HTG,113.731663
HUF,360.001369
IDR,16601.903045
ILS,3.61098
IMP,0.84721
INR,86.036651
IQD,1685.815007
IRR,48818.251304
ISK,150.186967
JEP,0.84721
JMD,178.921696
JOD,0.819332
JPY,131.643465
KES,128.891865
KGS,97.980992
KHR,4707.363838
KMF,491.414057
KPW,1039.915074
KRW,1368.93886
KWD,0.348638
KYD,0.962797
KZT,496.283563
LAK,11975.857241
LBP,1748.979684
LKR,232.820481
LRD,170.690528
LSL,17.898159
LTL,3.411777
LVL,0.698927
LYD,5.265384
MAD,10.49896
MDL,20.229453
MGA,4584.276423
MKD,61.666319
MMK,2080.36463
MNT,3294.13366
MOP,9.263031
MRO,412.499585
MUR,50.144513
MVR,17.851806
MWK,941.853211
MXN,23.778302
MYR,4.799213
MZN,73.75349
NAD,17.897768
NGN,474.906215
NIO,40.706879
NOK,9.865097
NPR,137.66021
NZD,1.620518
OMR,0.444852
PAB,1.155397
PEN,4.643945
PGK,4.056912
PHP,58.521847
PKR,196.424218
PLN,4.602145
PYG,7950.076455
QAR,4.207029
RON,4.949419
RSD,117.603214
RUB,82.696609
RWF,1177.476513
SAR,4.334222
SBD,9.273391
SCR,15.177245
SDG,509.559138
SEK,9.912416
SGD,1.561277
SHP,1.591533
SLL,12591.642781
SOS,677.100861
SRD,24.834325
STD,23915.721797
SVC,10.10997
SYP,1452.382878
SZL,17.632248
THB,38.557621
TJS,13.010856
TMT,4.05567
TND,3.274609
TOP,2.590487
TRY,11.254769
TTD,7.838177
TWD,32.212185
TZS,2661.027642
UAH,30.261327
UGX,4105.805607
USD,1.155462
UYU,51.065849
UZS,12346.657426
VEF,247072606129.80783
VND,26211.645897
VUV,129.754214
WST,2.977616
XAF,655.926674
XAG,0.048544
XAU,0.000648
XCD,3.122693
XDR,0.818462
XOF,655.974927
XPF,119.533112
YER,289.154647
ZAR,17.610162
ZMK,10400.47196
ZMW,20.076041
ZWL,372.058157
